flat_type,year,month_num,prev_month_resale_price
0,2015,3,210000.0
0,2015,4,208000.0
0,2015,5,200000.0
0,2015,9,215000.0
0,2015,10,205000.0
0,2015,11,195000.0
0,2016,2,200000.0
0,2016,5,216666.66666666666
0,2016,10,213000.0
0,2017,3,209000.0
0,2017,5,217000.0
0,2017,7,189000.0
0,2017,8,190000.0
0,2017,9,197500.0
0,2017,11,210000.0
0,2018,2,232000.0
0,2018,6,180333.33333333334
0,2018,7,188000.0
0,2018,8,174000.0
0,2018,11,174000.0
0,2019,1,172000.0
0,2019,2,182500.0
0,2019,3,169666.66666666666
0,2019,4,173268.0
0,2019,5,183333.33333333334
0,2019,9,165000.0
0,2020,2,157000.0
0,2020,3,162500.0
0,2020,5,165000.0
0,2020,6,192500.0
0,2020,7,186500.0
0,2020,11,197500.0
0,2021,1,182000.0
0,2021,2,192500.0
0,2021,3,194000.0
0,2021,4,205000.0
0,2021,5,190000.0
0,2021,6,205000.0
0,2021,7,220000.0
0,2022,3,215000.0
0,2022,5,228500.0
0,2022,6,248000.0
0,2022,7,235000.0
0,2022,11,233888.0
0,2022,12,235000.0
0,2023,3,237000.0
0,2023,4,240000.0
0,2023,5,251000.0
0,2023,10,236000.0
0,2023,11,258000.0
0,2024,3,230000.0
0,2024,4,235000.0
0,2024,5,242000.0
0,2024,7,245000.0
0,2024,8,255000.0
0,2024,10,280000.0
0,2024,11,271666.6666666667
0,2024,12,265000.0
1,2015,1,259333.33333333334
1,2015,2,251666.66666666666
1,2015,3,252192.0
1,2015,4,246006.96296296295
1,2015,5,255111.11111111112
1,2015,6,249907.33333333334
1,2015,7,245500.0
1,2015,8,242181.81818181818
1,2015,9,238833.33333333334
1,2015,10,249966.66666666666
1,2015,11,245468.75
1,2015,12,244740.66666666666
1,2016,1,230350.0
1,2016,2,240861.0
1,2016,3,255810.35294117648
1,2016,4,244421.05263157896
1,2016,5,241925.86666666667
1,2016,6,244018.18181818182
1,2016,7,249376.44444444444
1,2016,8,245789.47368421053
1,2016,9,259235.29411764705
1,2016,10,249833.33333333334
1,2016,11,234181.81818181818
1,2016,12,242560.0
1,2017,1,242527.77777777778
1,2017,2,236000.0
1,2017,3,253656.25
1,2017,4,231894.73684210525
1,2017,5,246021.55555555556
1,2017,6,239116.66666666666
1,2017,7,238408.33333333334
1,2017,8,240540.36363636365
1,2017,9,240142.85714285713
1,2017,10,230333.33333333334
1,2017,11,235407.92
1,2017,12,251100.0
1,2018,1,229200.0
1,2018,2,226511.14285714287
1,2018,3,240977.73913043478
1,2018,4,222514.2857142857
1,2018,5,244083.33333333334
1,2018,6,239806.4516129032
1,2018,7,248900.0
1,2018,8,231852.9411764706
1,2018,9,242125.5652173913
1,2018,10,243818.18181818182
1,2018,11,223344.8275862069
1,2018,12,227600.0
1,2019,1,232833.33333333334
1,2019,2,233155.52
1,2019,3,235093.16129032258
1,2019,4,237723.07692307694
1,2019,5,239328.125
1,2019,6,223066.66666666666
1,2019,7,227293.10638297873
1,2019,8,230318.18181818182
1,2019,9,228890.19047619047
1,2019,10,221357.14285714287
1,2019,11,220204.6511627907
1,2019,12,222884.9411764706
1,2020,1,229008.82352941178
1,2020,2,235118.42105263157
1,2020,3,230657.98
1,2020,4,232750.0
1,2020,5,222375.0
1,2020,6,230119.73333333334
1,2020,7,232322.5806451613
1,2020,8,224251.80952380953
1,2020,9,233223.68421052632
1,2020,10,246014.7
1,2020,11,246618.07407407407
1,2020,12,243466.66666666666
1,2021,1,257157.8947368421
1,2021,2,254221.5
1,2021,3,259821.42857142858
1,2021,4,254584.11428571428
1,2021,5,260861.07692307694
1,2021,6,257088.8620689655
1,2021,7,259254.4516129032
1,2021,8,270857.14285714284
1,2021,9,285854.4761904762
1,2021,10,278779.3103448276
1,2021,11,288026.1176470588
1,2021,12,279287.8787878788
1,2022,1,277336.72222222225
1,2022,2,277482.625
1,2022,3,286559.0
1,2022,4,284677.4193548387
1,2022,5,288328.125
1,2022,6,293675.6756756757
1,2022,7,303026.1176470588
1,2022,8,302569.7021276596
1,2022,9,317299.5
1,2022,10,308366.6666666667
1,2022,11,307835.8181818182
1,2022,12,305446.69811320753
1,2023,1,316807.0
1,2023,2,312788.22641509434
1,2023,3,315581.28571428574
1,2023,4,319295.52
1,2023,5,321197.9166666667
1,2023,6,323351.8333333333
1,2023,7,324516.5106382979
1,2023,8,328484.97297297296
1,2023,9,319099.60655737703
1,2023,10,318609.31746031746
1,2023,11,323722.22222222225
1,2023,12,331367.8181818182
1,2024,1,325231.3417721519
1,2024,2,332552.0
1,2024,3,333936.8813559322
1,2024,4,333491.04
1,2024,5,334691.60655737703
1,2024,6,339112.51948051946
1,2024,7,343368.4137931034
1,2024,8,345762.36842105264
1,2024,9,349933.3333333333
1,2024,10,352424.8
1,2024,11,347652.6923076923
1,2024,12,359770.1967213115
1,2025,1,353673.17647058825
2,2015,1,328572.36235955055
2,2015,2,329153.06172839506
2,2015,3,324855.1359223301
2,2015,4,325614.5575221239
2,2015,5,323616.23
2,2015,6,324554.28680688335
2,2015,7,324321.76923076925
2,2015,8,325440.7804878049
2,2015,9,320675.46019900497
2,2015,10,322084.9334939759
2,2015,11,325885.47848101263
2,2015,12,324426.5076142132
2,2016,1,323874.58757062146
2,2016,2,317896.8
2,2016,3,322877.80272108846
2,2016,4,324795.1557017544
2,2016,5,328639.20745920745
2,2016,6,323145.6085192698
2,2016,7,326315.92523364484
2,2016,8,320528.234939759
2,2016,9,316059.39906103286
2,2016,10,320045.3721973094
